bodyId,type,instance
1733370882,M_spPN5t10,M_spPN5t10_R
1733677514,M_l2PNm16,M_l2PNm16_R
1734350788,DA1_lPN,DA1_lPN_R
1734350908,DA1_lPN,DA1_lPN_R
1734420152,DL2v_adPN,DL2v_adPN_R
1755556097,VP3+VP1l_ivPN,VP3+VP1l_ivPN
1755556277,M_l2PN3t18,M_l2PN3t18_R
1756579280,DL2d_adPN,DL2d_adPN_R
1759999022,M_lvPNm33,M_lvPNm33_R
1762674761,M_adPNm8,M_adPNm8_R
1764091241,DM6_adPN,DM6_adPN_R
1765040289,DA1_lPN,DA1_lPN_R
1765415970,M_lvPNm41,M_lvPNm41_R
1788300760,VA1v_adPN,VA1v_adPN_R
1788676257,VP3+_l2PN,VP3+_l2PN(t10ALT)_R
1788680591,M_l2PN10t19,M_l2PN10t19_R
1788685103,M_l2PN10t19,M_l2PN10t19_R
1789013008,VP4+VL1_l2PN,VP4+VL1_l2PN(t3ALT)_R
1793014716,DL2d_adPN,DL2d_adPN_R
1793351401,DL2d_adPN,DL2d_adPN_R
1793403571,M_l2PNl22,M_l2PNl22_R
1794055377,M_l2PNm15,M_l2PNm15_R
1795410644,M_lvPNm41,M_lvPNm41_R
1796817841,DA2_lPN,DA2_lPN_R
1796818119,DA2_lPN,DA2_lPN_R
1797505019,DA2_lPN,DA2_lPN_R
1818307672,VC3m_lvPN,VC3m_lvPN_R
1819326555,M_vPNml89,M_vPNml89_R
1819957885,WEDPN7B,WEDPN7B_R
1825085656,M_lPNm11D,M_lPNm11D_R
1825440160,MZ_lv2PN,MZ_lv2PN_R
1827473315,M_lvPNm42,M_lvPNm42_R
1827516355,DA2_lPN,DA2_lPN_R
1827861966,M_lPNm11D,M_lPNm11D_R
1828206773,DC2_adPN,DC2_adPN_R
1849683877,M_lvPNm46,M_lvPNm46_R
1849684319,VC5_lvPN,VC5_lvPN_R
1850024931,VM4_lvPN,VM4_lvPN_R
1850706912,VC2_lPN,VC2_lPN_R
1850711304,VM1_lPN,VM1_lPN_R
1851061177,VA1d_adPN,VA1d_adPN_R
1851389175,VM3_adPN,VM3_adPN_R
1851393805,VM7d_adPN,VM7d_adPN_R
1856820042,M_lvPNm47,M_lvPNm47_R
1856833015,M_lPNm12,M_lPNm12_R
1857143769,M_vPNml63,M_vPNml63_R
1857148391,M_lPNm11D,M_lPNm11D_R
1857825571,DC3_adPN,DC3_adPN_R
1858171399,DC3_adPN,DC3_adPN_R
1858901026,VP2+_adPN,VP2+_adPN_R
1881059780,VP1m+VP2_lvPN2,VP1m+VP2_lvPN2_R
1881401277,VP1m+VP2_lvPN1,VP1m+VP2_lvPN1_R
1881751117,VA6_adPN,VA6_adPN_R
1882083076,VA7m_lPN,VA7m_lPN_R
1883042152,WEDPN16_a,WEDPN16_a_R
1883443112,VP3+_l2PN,VP3+_l2PN(t10ALT)_R
1886132855,M_adPNm7,M_adPNm7_R
1887163927,M_lPNm11D,M_lPNm11D_R
1887872301,M_adPNm4,M_adPNm4_R
1888178718,M_lv2PN9t49,M_lv2PN9t49_R
1888213190,M_adPNm4,M_adPNm4_R
1888524453,VA1d_vPN,VA1d_vPN_R
1888572074,VM5d_adPN,VM5d_adPN_R
1889253763,VM7v_adPN,VM7v_adPN_R
1889253785,VA3_adPN,VA3_adPN_R
1889883818,VL2a_vPN,VL2a_vPN_R
1912435859,M_lvPNm47,M_lvPNm47_R
1912777226,M_lvPNm48,M_lvPNm48_R
1912789965,VL1_ilPN,VL1_ilPN
1914140664,VM5d_adPN,VM5d_adPN_R
1914823337,VC3l_adPN,VC3l_adPN_R
1914823414,VM5d_adPN,VM5d_adPN_R
1916528384,M_adPNm5,M_adPNm5_R
1917188956,M_lPNm11D,M_lPNm11D_R
1917866877,M_l2PNl23,M_l2PNl23_R
1932518410,WEDPN13,WEDPN13_R
1943811511,M_lvPNm31,M_lvPNm31_R
1943811736,VP1m+VP2_lvPN2,VP1m+VP2_lvPN2_R
1943812176,VP1m+VP2_lvPN2,VP1m+VP2_lvPN2_R
1944502935,VP1m+VP5_ilPN,VP1m+VP5_ilPN
1944507292,VL2p_adPN,VL2p_adPN_R
1965590743,WEDPN19,WEDPN19_R
1974846717,MZ_lvPN,MZ_lvPN(multiAL+SEZ)_R
1975187554,M_lvPNm48,M_lvPNm48_R
1975187675,VP1m+VP2_lvPN2,VP1m+VP2_lvPN2_R
1975878958,VP2_adPN,VP2_adPN_R
1977579449,VA2_adPN,VA2_adPN_R
1977916288,VM3_adPN,VM3_adPN_R
2010992546,VM5v_adPN,VM5v_adPN_R
2030342003,WEDPN1A_b,WEDPN1A_b_R
2038617453,VP5+VP2_l2PN,VP5+VP2_l2PN(t10ALT)_R
2040344064,M_adPNm5,M_adPNm5_R
2061028219,WEDPN8B,WEDPN8B_R
2064165421,V_ilPN,V_ilPN
2065197353,VP5+VP3_l2PN,VP5+VP3_l2PN(t10ALT)_R
2065533721,WEDPN8C,WEDPN8C_R
2065879191,WEDPN15,WEDPN15_R
2069644133,VP5+_l2PN,VP5+_l2PN(t10ALT)_R
2069648663,VP1m+VP5_ilPN,VP1m+VP5_ilPN
2096909882,WEDPN14,WEDPN14_R
2096909904,WEDPN8C,WEDPN8C_R
2096914287,WEDPN8C,WEDPN8C_R
2100010400,VP5+VP2_l2PN,VP5+VP2_l2PN(t10ALT)_R
2123096640,WEDPN8A,WEDPN8A_R
2166133204,VL1_ilPN,VL1_ilPN
2214504597,WEDPN1A_b,WEDPN1A_b_R
2214846055,WEDPN1B,WEDPN1B_R
2289223313,VP1l+_lvPN,VP1l+_lvPN_R
2383731281,M_vPNml51,M_vPNml51_R
5812982656,M_smPN6t2,M_smPN6t2_L
5812983053,M_vPNml60,M_vPNml60_R
5812983069,M_lPNm13,M_lPNm13_R
5812989041,WEDPN13,WEDPN13_R
5812991215,WEDPN7C,WEDPN7C_R
5812991267,WEDPN7C,WEDPN7C_R
5812991410,WEDPN15,WEDPN15_R
5812992940,M_lvPNm46,M_lvPNm46_R
5812992942,M_lvPNm37,M_lvPNm37_R
5812995098,VC5_lvPN,VC5_lvPN_R
5812995298,M_lvPNm35,M_lvPNm35_R
5812995328,M_lvPNm26,M_lvPNm26_R
5812996003,M_vPNml72,M_vPNml72_R
5812996748,VP1l+_lvPN,VP1l+_lvPN_R
5813000276,VC3l_adPN,VC3l_adPN_R
5813000952,WEDPN13,WEDPN13_R
5813003188,WEDPN13,WEDPN13_R
5813008771,M_vPNml53,M_vPNml53_R
5813013823,M_vPNml87,M_vPNml87_R
5813013913,WEDPN3,WEDPN3_R
5813014622,M_vPNml82,M_vPNml82_R
5813015982,WEDPN7A,WEDPN7A_R
5813018784,WEDPN15,WEDPN15_R
5813020138,WEDPN3,WEDPN3_R
5813023929,WEDPN13,WEDPN13_R
5813024601,VA1v_adPN,VA1v_adPN_R
5813024692,M_adPNm3,M_adPNm3_R
5813024710,DL2d_adPN,DL2d_adPN_R
5813024712,VM5d_adPN,VM5d_adPN_R
5813024799,M_lPNm12,M_lPNm12_R
5813032740,WEDPN4,WEDPN4_R
5813033483,WEDPN6B,WEDPN6B_R
5813034081,M_vPNml58,M_vPNml58_R
5813034571,VM5v_adPN,VM5v_adPN_R
5813038793,DL2v_adPN,DL2v_adPN_R
5813038889,D_adPN,D_adPN_R
5813039235,DM6_adPN,DM6_adPN_R
5813039315,DA1_lPN,DA1_lPN_R
5813039465,DL2v_adPN,DL2v_adPN_R
5813039471,DC3_adPN,DC3_adPN_R
5813040515,VP3+VP1l_ivPN,VP3+VP1l_ivPN
5813041247,M_vPNml65,M_vPNml65_R
5813041468,WEDPN10A,WEDPN10A_R
5813044177,M_lPNm11A,M_lPNm11A_R
5813045696,M_vPNml86,M_vPNml86_R
5813050727,VM7d_adPN,VM7d_adPN_R
5813050729,VA7m_lPN,VA7m_lPN_R
5813054019,WEDPN8A,WEDPN8A_R
5813054697,VA1v_adPN,VA1v_adPN_R
5813054911,M_vPNml74,M_vPNml74_R
5813055025,VA3_adPN,VA3_adPN_R
5813055048,DC2_adPN,DC2_adPN_R
5813055147,VC4_adPN,VC4_adPN_R
5813055162,VA1d_adPN,VA1d_adPN_R
5813055180,VA7m_lPN,VA7m_lPN_R
5813055184,D_adPN,D_adPN_R
5813055629,WEDPN8C,WEDPN8C_R
5813056072,VP1m_l2PN,VP1m_l2PN(lALT)_R
5813056323,WEDPN7A,WEDPN7A_R
5813056596,DC4_adPN,DC4_adPN_R
5813056696,WEDPN8A,WEDPN8A_R
5813062331,WEDPN14,WEDPN14_R
5813063239,VP5+Z_adPN,VP5+Z_adPN(uniAL+SEZ)_R
5813069089,VL2a_adPN,VL2a_adPN_R
5813069447,VP2_l2PN,VP2_l2PN(lALT)_R
5813069532,M_lvPNm34,M_lvPNm34_R
5813070872,DM6_adPN,DM6_adPN_R
5813071369,M_vPNml76,M_vPNml76_R
5813071409,M_vPNml66,M_vPNml66_R
5813077788,VP2+Z_lvPN,VP2+Z_lvPN(uniAL+SEZ)_R
5813077810,VL2a_vPN,VL2a_vPN_R
5813079228,M_lvPNm30,M_lvPNm30_R
5813083723,M_l2PNm17,M_l2PNm17_R
5813090752,M_vPNml81,M_vPNml81_R
5813133489,WEDPN8C,WEDPN8C_R
5901194250,M_lvPNm37,M_lvPNm37_R
5901194556,M_lvPNm37,M_lvPNm37_R
5901203887,WEDPN8A,WEDPN8A_R
5901222731,VP1d+VP4_l2PN2,VP1d+VP4_l2PN2(lALT)_R
5901222910,DM2_lPN,DM2_lPN_R
